insti_ID,nirf_year,domain,fin_year,library,equipment,workshops,studios,capital_assets,salaries,maintenance,seminars,research_amount,consultancy_amount,sponsored_projects,funding_agencies
IR-E-C-6379,2025,Engineering,2022-23,273677736.0,108009756.0,111963504.0,,,750542314.0,576605716.0,111963504.0,5538557.0,35882334.0,7.0,4.0
IR-E-C-6379,2025,Engineering,2021-22,165008000.0,101187000.0,92479958.0,,,718029000.0,475340000.0,92479958.0,7496222.0,31654000.0,9.0,7.0
IR-E-U-0389,2025,Engineering,2023-24,13438936.0,74693198.0,2877583.0,,,705691245.0,271647053.0,2877583.0,50499008.0,36620451.0,,
IR-E-U-0389,2025,Engineering,2022-23,10371977.0,71230151.0,533732.0,,,608354521.0,260084700.0,533732.0,46233959.0,30000000.0,,
IR-E-U-0389,2025,Engineering,2021-22,17213600.0,64765419.0,49724.0,,,527856417.0,178952762.0,49724.0,49795950.0,23748640.0,,
IR-E-U-0946,2025,Engineering,2023-24,2255062639.0,513950483.0,35679752.0,,,354385567.0,267955372.0,35679752.0,419202539.0,66387508.0,62.0,14.0
IR-E-U-0946,2025,Engineering,2022-23,6374110895.0,371247590.0,5139631.0,,,240135927.0,123923177.0,5139631.0,353703993.0,99572950.0,73.0,13.0
IR-E-U-0946,2025,Engineering,2021-22,2488161963.0,135743724.0,8000000.0,,,223044425.0,101662874.0,8000000.0,87312153.0,3592195.0,49.0,7.0
IR-E-U-0197,2025,Engineering,2023-24,139395946.0,47231985.0,25612560.0,,,895915850.0,725389122.0,25612560.0,142288553.0,5865197.0,,
IR-E-U-0197,2025,Engineering,2022-23,100939887.0,88975857.0,12665392.0,,,769914171.0,594322906.0,12665392.0,121494957.0,10826962.0,,
IR-E-U-0197,2025,Engineering,2021-22,286444629.0,59205988.0,769899.0,,,634425953.0,493608538.0,769899.0,73076102.0,47404358.0,,
IR-E-U-0042,2025,Engineering,2023-24,17448756.0,14740708.0,365240.0,,,213327279.0,52924534.0,365240.0,55784867.0,2250000.0,8.0,8.0
IR-E-U-0042,2025,Engineering,2022-23,4000000.0,226000.0,1900000.0,,,222257344.0,9500000.0,1900000.0,168900000.0,1553000.0,73.0,18.0
IR-E-U-0042,2025,Engineering,2021-22,0.0,15807812.0,43535.0,,,234817353.0,8499507.0,43535.0,27500000.0,218000.0,9.0,5.0
IR-E-C-1331,2025,Engineering,2023-24,83872966.0,79035657.0,8688893.0,,,791798791.0,425116883.0,8688893.0,34839908.0,10700000.0,,
IR-E-C-1331,2025,Engineering,2022-23,11143419.0,54296616.0,10472202.0,,,751734922.0,343380364.0,10472202.0,31686499.0,6745945.0,,
IR-E-C-1331,2025,Engineering,2021-22,14953074.0,59476057.0,3638103.0,,,687852978.0,240419708.0,3638103.0,20910139.0,10646770.0,,
IR-E-U-0217,2025,Engineering,2023-24,121565758.0,6254879.0,4555583.0,,,522389542.0,216705912.0,4555583.0,3538828.0,2901820.0,7.0,4.0
IR-E-U-0217,2025,Engineering,2022-23,28191043.0,4175361.0,689156.0,,,376316868.0,181043556.0,689156.0,1106515.0,1492695.0,3.0,3.0
